,n00,n00_name,n01,n01_name,n02,n02_name
0,NCBIGene:5465,PPARA,NCBIGene:1490,CCN2,HP:0001395,Hepatic fibrosis
1,NCBIGene:5465,PPARA,MONDO:0005154,liver disorder,MONDO:0100430,fibrotic liver disease
2,NCBIGene:5465,PPARA,NCBIGene:5314,PKHD1,MONDO:0018840,isolated congenital hepatic fibrosis
3,NCBIGene:5465,PPARA,MONDO:0005154,liver disorder,UMLS:C2827436,Liver Disease Associated with Cystic Fibrosis
4,NCBIGene:10891,PPARGC1A,NCBIGene:213,ALB,HP:0001395,Hepatic fibrosis
5,NCBIGene:10891,PPARGC1A,NCBIGene:2200,FBN1,MONDO:0018840,isolated congenital hepatic fibrosis
6,NCBIGene:133522,PPARGC1B,NCBIGene:6347,CCL2,HP:0001395,Hepatic fibrosis
7,NCBIGene:133522,PPARGC1B,NCBIGene:183,AGT,MONDO:0018840,isolated congenital hepatic fibrosis
8,NCBIGene:80205,CHD9,NCBIGene:183,AGT,HP:0001395,Hepatic fibrosis
9,NCBIGene:80205,CHD9,NCBIGene:183,AGT,MONDO:0018840,isolated congenital hepatic fibrosis
