n02,n02_name,n01,n01_name,Count,number_genes
EFO:0004339,body height,NCBIGene:4088,SMAD3,18,35
EFO:0004339,body height,NCBIGene:7040,TGFB1,15,35
EFO:0004339,body height,NCBIGene:1535,CYBA,12,35
EFO:0004339,body height,NCBIGene:5244,ABCB4,9,35
EFO:0004339,body height,NCBIGene:7046,TGFBR1,8,35
EFO:0004339,body height,NCBIGene:6772,STAT1,7,35
EFO:0004339,body height,NCBIGene:2247,FGF2,7,35
EFO:0004339,body height,NCBIGene:120227,CYP2R1,6,35
EFO:0004339,body height,NCBIGene:1593,CYP27A1,6,35
EFO:0004339,body height,NCBIGene:1490,CCN2,5,35
EFO:0004339,body height,NCBIGene:1499,CTNNB1,5,35
EFO:0004339,body height,NCBIGene:7422,VEGFA,5,35
EFO:0004339,body height,NCBIGene:1277,COL1A1,4,35
EFO:0004339,body height,NCBIGene:405,ARNT,3,35
EFO:0004339,body height,NCBIGene:408,ARRB1,3,35
EFO:0004339,body height,NCBIGene:4313,MMP2,3,35
EFO:0004339,body height,NCBIGene:4763,NF1,3,35
EFO:0004339,body height,NCBIGene:2321,FLT1,3,35
EFO:0004339,body height,NCBIGene:6696,SPP1,3,35
EFO:0004339,body height,NCBIGene:4864,NPC1,3,35
EFO:0004339,body height,NCBIGene:3569,IL6,2,35
EFO:0004339,body height,NCBIGene:1278,COL1A2,2,35
EFO:0004339,body height,NCBIGene:5314,PKHD1,2,35
EFO:0004339,body height,NCBIGene:213,ALB,2,35
EFO:0004339,body height,NCBIGene:4780,NFE2L2,2,35
EFO:0004339,body height,NCBIGene:5972,REN,2,35
EFO:0004339,body height,NCBIGene:5328,PLAU,2,35
EFO:0004339,body height,NCBIGene:1356,CP,2,35
EFO:0004339,body height,NCBIGene:6927,HNF1A,1,35
EFO:0004339,body height,NCBIGene:3956,LGALS1,1,35
EFO:0004339,body height,NCBIGene:183,AGT,1,35
EFO:0004339,body height,NCBIGene:2149,F2R,1,35
EFO:0004339,body height,NCBIGene:2147,F2,1,35
EFO:0004339,body height,NCBIGene:7057,THBS1,1,35
EFO:0004339,body height,NCBIGene:3082,HGF,1,35
EFO:0004747,protein measurement,NCBIGene:183,AGT,15,18
EFO:0004747,protein measurement,NCBIGene:405,ARNT,15,18
EFO:0004747,protein measurement,NCBIGene:4763,NF1,9,18
EFO:0004747,protein measurement,NCBIGene:5328,PLAU,4,18
EFO:0004747,protein measurement,NCBIGene:213,ALB,2,18
EFO:0004747,protein measurement,NCBIGene:1717,DHCR7,2,18
EFO:0004747,protein measurement,NCBIGene:7040,TGFB1,2,18
EFO:0004747,protein measurement,NCBIGene:2149,F2R,2,18
EFO:0004747,protein measurement,NCBIGene:408,ARRB1,2,18
EFO:0004747,protein measurement,NCBIGene:7422,VEGFA,2,18
EFO:0004747,protein measurement,NCBIGene:7431,VIM,2,18
EFO:0004747,protein measurement,NCBIGene:6927,HNF1A,1,18
EFO:0004747,protein measurement,NCBIGene:6347,CCL2,1,18
EFO:0004747,protein measurement,NCBIGene:1277,COL1A1,1,18
EFO:0004747,protein measurement,NCBIGene:6772,STAT1,1,18
EFO:0004747,protein measurement,NCBIGene:1499,CTNNB1,1,18
EFO:0004747,protein measurement,NCBIGene:4864,NPC1,1,18
EFO:0004747,protein measurement,NCBIGene:1535,CYBA,1,18
EFO:0007937,blood protein measurement,NCBIGene:6347,CCL2,10,16
EFO:0007937,blood protein measurement,NCBIGene:7040,TGFB1,7,16
EFO:0007937,blood protein measurement,NCBIGene:5328,PLAU,5,16
EFO:0007937,blood protein measurement,NCBIGene:2147,F2,5,16
EFO:0007937,blood protein measurement,NCBIGene:183,AGT,4,16
EFO:0007937,blood protein measurement,NCBIGene:213,ALB,3,16
EFO:0007937,blood protein measurement,NCBIGene:405,ARNT,3,16
EFO:0007937,blood protein measurement,NCBIGene:1490,CCN2,3,16
EFO:0007937,blood protein measurement,NCBIGene:7046,TGFBR1,3,16
EFO:0007937,blood protein measurement,NCBIGene:5244,ABCB4,2,16
EFO:0007937,blood protein measurement,NCBIGene:6927,HNF1A,2,16
EFO:0007937,blood protein measurement,NCBIGene:1535,CYBA,1,16
EFO:0007937,blood protein measurement,NCBIGene:5314,PKHD1,1,16
EFO:0007937,blood protein measurement,NCBIGene:3082,HGF,1,16
EFO:0007937,blood protein measurement,NCBIGene:6696,SPP1,1,16
EFO:0007937,blood protein measurement,NCBIGene:2149,F2R,1,16
EFO:0004612,high density lipoprotein cholesterol measurement,NCBIGene:6927,HNF1A,12,15
EFO:0004530,triglyceride measurement,NCBIGene:7422,VEGFA,12,15
EFO:0004530,triglyceride measurement,NCBIGene:1593,CYP27A1,11,15
EFO:0004530,triglyceride measurement,NCBIGene:405,ARNT,11,15
EFO:0004530,triglyceride measurement,NCBIGene:4864,NPC1,10,15
